INSTNM,name.short,UNITID,OPEID,OPEID6,CITY,STABBR,ZIP,BigTen.primary,BigTen.secondary
Indiana University-Bloomington,Indiana,151351,00180900,001809,Bloomington,IN,47405-7000,"#990000","#EDEBEB"
Michigan State University,MSU,171100,00229000,002290,East Lansing,MI,48824-1046,"#18453B","#FFFFFF"
Northwestern University,Northwestern,147767,00173900,001739,Evanston,IL,60208,"#4E2A84","#E4E0EE"
Ohio State University-Main Campus,Ohio State,204796,00309000,003090,Columbus,OH,43210,"#BB0000","#666666"
Pennsylvania State University-Main Campus,Penn State,214777,00332900,003329,University Park,PA,16802-1503,"#001E44","#ffffff"
The Pennsylvania State University,Penn State,495767,00332900,003329,University Park,PA,16802-1503,"#001E44","#ffffff"
Purdue University-Main Campus,Purdue,243780,00182500,001825,West Lafayette,IN,47907-2040,"#CFB991","#000000"
Rutgers University-New Brunswick,Rutgers,186380,00262903,002629,New Brunswick,NJ,08901-1281,"#cc0033","#525C5C"
University of California-Los Angeles,UCLA,110662,00131500,001315,Los Angeles,CA,90095-1405,"#2774AE","#FFD100"
University of Illinois Urbana-Champaign,Illinois,145637,00177500,001775,Champaign,IL,61820-5711,"#FF552E","#13294B"
University of Iowa,Iowa,153658,00189200,001892,Iowa City,IA,52242-1316,"#FFCD00","#000000"
University of Maryland-College Park,Maryland,163286,00210300,002103,College Park,MD,20742,"#F0163A","#FFD90F"
University of Michigan-Ann Arbor,Michigan,170976,00232500,002325,Ann Arbor,MI,48109,"#FFCB05","#00274C"
University of Minnesota-Twin Cities,Minnesota,174066,00396900,003969,Minneapolis,MN,55455-0213,"#ffcc33","#7a0019"
University of Nebraska-Lincoln,Nebraska,181464,00256500,002565,Lincoln,NE,68588-0419,"#d00000","#f5f1e7"
University of Oregon,Oregon,209551,00322300,003223,Eugene,OR,97403,"#007030","#FEE11A"
University of Southern California,USoCal,123961,00132800,001328,Los Angeles,CA,90089,"#990000","#FFCC00"
University of Washington-Seattle Campus,Washington,236948,00379800,003798,Seattle,WA,98195-4550,"#4b2e83","#e8e3d3"
University of Wisconsin-Madison,Wisconsin,240444,00389500,003895,Madison,WI,53706-1380,"#da004c","#ffffff"
